src,dst,time_s_2018,distance_km_2018,time_s_2025,distance_km_2025,delta_time_s,delta_distance_km
9.0,27.0,610,8.067,704.0,9.471,94.0,1.404
9.0,28.0,965,15.362,987.0,15.159,22.0,-0.2029999999999994
9.0,29.0,1364,23.917,1466.0,24.571,102.0,0.6539999999999999
9.0,30.0,1351,25.2,1497.0,25.119,146.0,-0.08099999999999952
9.0,31.0,1635,30.287,1873.0,33.193,238.0,2.905999999999999
9.0,32.0,952,17.946,839.0,13.061,-113.0,-4.885000000000002
9.0,33.0,2254,33.701,2429.0,40.435,175.0,6.734000000000002
9.0,34.0,346,4.579,347.0,4.527,1.0,-0.0519999999999996
9.0,35.0,1906,36.836,2127.0,38.404,221.0,1.568000000000005
9.0,36.0,691,11.354,833.0,13.369,142.0,2.0150000000000006
9.0,37.0,1415,27.846,1523.0,27.778,108.0,-0.06800000000000139
9.0,38.0,1951,37.592,2087.0,37.15,136.0,-0.44200000000000017
9.0,39.0,2467,44.259,2507.0,43.838,40.0,-0.4209999999999994
9.0,40.0,3037,38.789,3587.0,43.182,550.0,4.393000000000001
10.0,1.0,1806,28.341,2190.0,30.497,384.0,2.155999999999999
10.0,2.0,2593,44.432,2863.0,46.427,270.0,1.9949999999999974
10.0,3.0,1361,20.776,1502.0,21.634,141.0,0.8580000000000005
10.0,4.0,2031,34.5,2757.0,36.762,726.0,2.2620000000000005
10.0,5.0,2916,49.398,3172.0,51.57,256.0,2.171999999999997
10.0,6.0,1207,18.201,1763.0,24.613,556.0,6.411999999999999
10.0,7.0,1883,26.292,2367.0,30.247,484.0,3.9549999999999983
10.0,8.0,1386,20.015,1637.0,24.992,251.0,4.977
10.0,9.0,1888,33.39,2211.0,35.426,323.0,2.0360000000000014
10.0,10.0,0,0.0,0.0,0.0,0.0,0.0
10.0,11.0,2542,45.06,2897.0,47.102,355.0,2.0419999999999945
10.0,12.0,1057,14.545,1496.0,21.662,439.0,7.116999999999999
10.0,13.0,1497,21.407,1711.0,25.708,214.0,4.300999999999998
10.0,14.0,2157,33.597,2276.0,36.177,119.0,2.5799999999999983
10.0,15.0,1146,15.9,1456.0,21.062,310.0,5.162000000000001
10.0,16.0,935,12.917,1277.0,19.337,342.0,6.42
10.0,17.0,2591,44.884,2870.0,46.969,279.0,2.085000000000001
10.0,18.0,2745,46.971,3008.0,49.007,263.0,2.0360000000000014
10.0,19.0,2927,50.634,3233.0,52.357,306.0,1.722999999999999
10.0,20.0,1394,16.251,1392.0,18.083,-2.0,1.8319999999999972
