src,dst,time_s_2018,distance_km_2018,year,time_s_2025,distance_km_2025,delta_time_s,delta_distance_km,pct_time,pct_distance
4,6,1332,19.813,2018,1658,21.788,326,1.9750000000000014,24.474474474474476,9.968202695200128
4,7,2510,46.359,2018,2685,47.825,175,1.466000000000001,6.97211155378486,3.1622770120149295
4,8,471,5.718,2018,584,6.851,113,1.133,23.991507430997878,19.81462049667716
4,9,305,3.974,2018,470,5.462,165,1.4879999999999995,54.09836065573771,37.44338198288876
4,10,2189,34.968,2018,2170,36.823,-19,1.8549999999999969,-0.8679762448606669,5.304850148707381
4,11,2712,48.268,2018,2739,47.377,27,-0.8909999999999982,0.995575221238938,-1.8459434822242442
4,12,1404,18.11,2018,1256,19.338,-148,1.2280000000000015,-10.541310541310542,6.7807840971838855
4,13,2152,39.508,2018,2006,32.911,-146,-6.597000000000001,-6.784386617100371,-16.697883972866258
4,14,697,9.964,2018,621,9.349,-76,-0.6150000000000002,-10.9038737446198,-6.172219991971098
4,15,912,11.644,2018,827,11.588,-85,-0.05600000000000094,-9.320175438596491,-0.48093438680866485
4,16,1066,15.516,2018,1069,14.788,3,-0.7279999999999998,0.28142589118198874,-4.691930910028357
4,17,350,5.354,2018,531,7.346,181,1.992,51.714285714285715,37.205827418752335
4,18,2135,32.003,2018,2050,31.002,-85,-1.0010000000000012,-3.9812646370023423,-3.1278317657719628
4,19,1210,19.623,2018,1640,25.361,430,5.7379999999999995,35.53719008264463,29.24119655506293
4,20,1159,17.475,2018,1308,19.059,149,1.5839999999999996,12.855910267471959,9.06437768240343
4,21,942,15.149,2018,1144,14.914,202,-0.23499999999999943,21.443736730360936,-1.5512575087464482
4,22,1553,27.283,2018,1483,23.797,-70,-3.4860000000000007,-4.507405022537025,-12.777187259465602
4,23,1416,17.452,2018,1175,15.08,-241,-2.3720000000000017,-17.019774011299436,-13.591565436626182
4,24,2235,40.482,2018,1987,31.247,-248,-9.235,-11.096196868008947,-22.812608072723677
4,25,958,13.188,2018,918,13.566,-40,0.3780000000000001,-4.175365344467641,2.866242038216561
4,26,2495,45.36,2018,2764,49.015,269,3.655000000000001,10.781563126252506,8.057760141093476
4,27,913,12.432,2018,865,12.785,-48,0.35299999999999976,-5.257393209200438,2.8394465894465872
4,28,751,10.373,2018,941,13.262,190,2.889000000000001,25.299600532623167,27.85115202930687
4,29,3481,44.012,2018,3910,41.057,429,-2.9549999999999983,12.324044814708417,-6.714077978733068
4,30,744,11.579,2018,973,13.231,229,1.6519999999999992,30.77956989247312,14.267207876327829
4,31,1375,21.711,2018,1685,25.628,310,3.9170000000000016,22.545454545454547,18.041545760213726
4,32,1804,29.502,2018,1911,32.079,107,2.5770000000000017,5.931263858093126,8.735001016880217
4,33,880,12.61,2018,897,11.621,17,-0.988999999999999,1.9318181818181817,-7.842981760507526
4,34,1465,25.568,2018,1533,25.918,68,0.34999999999999787,4.6416382252559725,1.3688986232790905
4,35,598,9.18,2018,729,10.649,131,1.4689999999999994,21.906354515050168,16.002178649237468
4,36,555,8.381,2018,725,9.973,170,1.5920000000000005,30.630630630630627,18.995346617348773
4,37,1158,14.707,2018,1261,18.332,103,3.625,8.894645941278066,24.64812674236758
4,38,3338,40.604,2018,2970,45.657,-368,5.052999999999997,-11.024565608148592,12.444586740222633
4,39,1489,25.483,2018,1586,28.191,97,2.7079999999999984,6.51443922095366,10.626692304673698
4,40,1960,31.938,2018,2004,31.052,44,-0.8859999999999992,2.2448979591836733,-2.774124866929674
