src,dst,time_s,distance_km,year
12,1,489,6.465,2018
12,2,434,5.296,2018
12,3,668,8.004,2018
12,4,325,3.601,2018
12,5,573,7.278,2018
12,6,632,8.594,2018
12,7,627,7.603,2018
12,8,337,4.082,2018
12,9,444,4.78,2018
12,10,685,8.191,2018
12,11,482,5.713,2018
12,12,0,0.0,2018
12,13,561,7.033,2018
12,14,688,9.371,2018
12,15,687,10.193,2018
12,16,565,7.23,2018
12,17,747,8.873,2018
12,18,342,3.404,2018
12,19,480,5.263,2018
12,20,544,6.334,2018
12,21,624,7.205,2018
12,22,580,7.159,2018
12,23,268,2.571,2018
12,24,393,4.791,2018
12,25,780,11.617,2018
12,26,404,4.242,2018
12,27,495,6.217,2018
12,28,385,4.203,2018
12,29,583,7.119,2018
12,30,589,7.534,2018
12,31,416,5.026,2018
12,32,822,12.123,2018
12,33,57,0.551,2018
12,34,269,2.65,2018
12,35,157,1.623,2018
12,36,448,5.501,2018
12,37,373,4.113,2018
12,38,391,4.711,2018
12,39,248,3.535,2018
12,40,595,7.531,2018
12,41,635,8.276,2018
12,42,228,2.169,2018
12,43,628,8.126,2018
12,44,394,4.125,2018
12,45,1903,11.769,2018
12,46,352,3.587,2018
12,47,567,7.422,2018
12,48,681,10.196,2018
12,49,125,1.213,2018
12,50,419,5.062,2018
13,1,513,7.351,2018
13,2,151,1.863,2018
13,3,765,10.226,2018
13,4,527,7.048,2018
13,5,291,3.755,2018
13,6,518,7.881,2018
13,7,95,1.198,2018
13,8,434,6.302,2018
13,9,578,8.233,2018
13,10,782,10.413,2018
13,11,219,2.446,2018
13,12,529,6.989,2018
13,13,0,0.0,2018
13,14,784,11.593,2018
13,15,725,11.502,2018
13,16,590,7.951,2018
13,17,843,11.095,2018
13,18,575,7.699,2018
13,19,554,6.864,2018
13,20,268,3.406,2018
13,21,158,1.765,2018
13,22,195,2.205,2018
13,23,372,4.738,2018
13,24,253,3.127,2018
13,25,738,11.77,2018
13,26,517,7.511,2018
13,27,308,4.21,2018
13,28,621,8.526,2018
13,29,680,9.341,2018
13,30,135,1.361,2018
13,31,195,2.495,2018
13,32,780,12.276,2018
13,33,472,6.42,2018
13,34,441,5.323,2018
13,35,579,8.388,2018
13,36,175,2.213,2018
13,37,341,4.298,2018
13,38,234,2.741,2018
13,39,529,7.782,2018
13,40,83,0.752,2018
13,41,539,7.594,2018
13,42,517,6.735,2018
13,43,389,5.012,2018
13,44,630,8.448,2018
13,45,1750,9.88,2018
13,46,483,6.785,2018
13,47,376,4.845,2018
13,48,719,11.505,2018
13,49,495,6.666,2018
13,50,282,3.948,2018
14,1,766,10.803,2018
14,2,652,8.554,2018
14,3,182,1.562,2018
14,4,739,9.785,2018
14,5,791,10.536,2018
14,6,547,6.691,2018
14,7,846,11.487,2018
14,8,370,4.7,2018
14,9,751,10.414,2018
14,10,160,1.463,2018
14,11,700,8.971,2018
14,12,601,7.495,2018
14,13,943,12.738,2018
14,14,0,0.0,2018
14,15,398,4.889,2018
14,16,479,5.357,2018
14,17,264,2.413,2018
14,18,450,5.121,2018
14,19,758,9.601,2018
14,20,659,8.602,2018
14,21,786,9.746,2018
14,22,758,9.812,2018
14,23,488,5.918,2018
14,24,611,8.049,2018
14,25,491,6.313,2018
14,26,274,3.376,2018
14,27,594,7.989,2018
14,28,542,6.859,2018
14,29,342,3.188,2018
14,30,807,10.792,2018
14,31,634,8.284,2018
14,32,532,6.819,2018
14,33,544,6.926,2018
14,34,462,5.72,2018
14,35,499,6.721,2018
14,36,685,8.289,2018
14,37,565,7.124,2018
14,38,609,7.969,2018
14,39,449,6.115,2018
14,40,813,10.789,2018
14,41,547,6.231,2018
14,42,459,5.354,2018
14,43,737,9.746,2018
14,44,550,6.781,2018
14,45,1818,10.002,2018
14,46,306,3.717,2018
14,47,676,9.042,2018
14,48,392,4.892,2018
14,49,564,7.172,2018
14,50,637,8.32,2018
15,1,955,14.444,2018
15,2,840,12.195,2018
15,3,476,6.25,2018
15,4,927,13.426,2018
15,5,980,14.177,2018
15,6,451,7.515,2018
15,7,778,10.965,2018
15,8,558,8.341,2018
15,9,939,14.055,2018
15,10,454,6.151,2018
15,11,889,12.612,2018
15,12,789,11.136,2018
15,13,805,12.166,2018
15,14,422,5.74,2018
15,15,0,0.0,2018
15,16,449,6.534,2018
15,17,534,7.099,2018
15,18,639,8.762,2018
15,19,946,13.242,2018
15,20,757,10.835,2018
15,21,791,11.657,2018
15,22,620,9.24,2018
15,23,677,9.559,2018
15,24,799,11.69,2018
15,25,259,2.883,2018
15,26,462,7.017,2018
15,27,664,9.693,2018
15,28,730,10.5,2018
15,29,450,5.285,2018
15,30,913,13.338,2018
15,31,813,11.417,2018
15,32,278,3.234,2018
15,33,732,10.567,2018
15,34,651,9.361,2018
15,35,688,10.362,2018
15,36,806,11.518,2018
15,37,754,10.765,2018
15,38,797,11.61,2018
15,39,638,9.756,2018
15,40,861,12.729,2018
15,41,390,5.856,2018
15,42,648,8.995,2018
15,43,625,8.92,2018
15,44,739,10.422,2018
15,45,1686,9.448,2018
15,46,494,7.358,2018
15,47,664,9.354,2018
15,48,67,0.967,2018
15,49,753,10.813,2018
15,50,825,11.961,2018
16,1,731,10.216,2018
16,2,517,6.639,2018
16,3,417,4.704,2018
16,4,704,9.198,2018
16,5,657,8.888,2018
16,6,176,2.352,2018
16,7,537,6.745,2018
16,8,319,4.026,2018
16,9,716,9.827,2018
16,10,434,4.891,2018
16,11,566,7.323,2018
16,12,566,6.908,2018
16,13,563,7.946,2018
16,14,479,5.352,2018
16,15,382,5.942,2018
16,16,0,0.0,2018
16,17,495,5.573,2018
16,18,405,5.083,2018
16,19,723,9.014,2018
16,20,419,5.291,2018
16,21,549,7.437,2018
16,22,378,5.02,2018
16,23,450,5.303,2018
16,24,476,6.401,2018
16,25,396,6.21,2018
16,26,225,3.338,2018
16,27,353,4.678,2018
16,28,507,6.272,2018
16,29,260,2.796,2018
16,30,679,9.196,2018
16,31,475,5.872,2018
16,32,437,6.716,2018
16,33,509,6.339,2018
16,34,428,5.133,2018
16,35,464,6.134,2018
16,36,467,5.973,2018
16,37,531,6.525,2018
16,38,474,6.321,2018
16,39,414,5.528,2018
16,40,619,8.509,2018
16,41,189,2.034,2018
16,42,424,4.767,2018
16,43,383,4.701,2018
16,44,516,6.194,2018
16,45,1438,5.21,2018
16,46,291,4.243,2018
16,47,436,5.732,2018
16,48,377,5.945,2018
16,49,529,6.585,2018
16,50,495,6.672,2018
17,1,816,10.922,2018
17,2,702,8.673,2018
17,3,153,1.353,2018
17,4,789,9.904,2018
17,5,841,10.655,2018
17,6,569,6.912,2018
17,7,869,11.708,2018
17,8,420,4.819,2018
17,9,801,10.533,2018
17,10,142,1.128,2018
17,11,750,9.09,2018
17,12,651,7.614,2018
17,13,965,12.959,2018
17,14,265,2.413,2018
17,15,534,7.149,2018
17,16,501,5.578,2018
17,17,0,0.0,2018
17,18,500,5.24,2018
17,19,808,9.72,2018
17,20,709,8.721,2018
17,21,836,9.865,2018
17,22,780,10.033,2018
17,23,538,6.037,2018
17,24,661,8.168,2018
17,25,627,8.573,2018
17,26,324,3.495,2018
17,27,643,8.108,2018
17,28,591,6.978,2018
17,29,364,3.409,2018
17,30,857,10.911,2018
17,31,684,8.403,2018
17,32,668,9.079,2018
17,33,593,7.045,2018
17,34,512,5.839,2018
17,35,549,6.84,2018
17,36,735,8.408,2018
17,37,615,7.243,2018
17,38,659,8.088,2018
17,39,499,6.234,2018
17,40,863,10.908,2018
17,41,570,6.452,2018
17,42,509,5.473,2018
17,43,785,9.713,2018
17,44,600,6.9,2018
17,45,1840,10.223,2018
17,46,356,3.836,2018
17,47,726,9.161,2018
17,48,528,7.152,2018
17,49,614,7.291,2018
17,50,687,8.439,2018
18,1,626,8.428,2018
18,2,516,6.195,2018
18,3,571,6.401,2018
18,4,615,7.963,2018
18,5,655,8.177,2018
18,6,490,6.54,2018
18,7,789,11.199,2018
18,8,229,2.325,2018
18,9,610,8.039,2018
18,10,587,6.587,2018
18,11,565,6.612,2018
18,12,401,3.856,2018
18,13,643,7.932,2018
18,14,590,7.768,2018
18,15,589,8.59,2018
18,16,422,5.176,2018
18,17,649,7.27,2018
18,18,0,0.0,2018
18,19,617,7.226,2018
18,20,601,7.279,2018
18,21,728,8.423,2018
18,22,700,9.524,2018
18,23,348,3.543,2018
18,24,475,5.69,2018
18,25,682,10.014,2018
18,26,206,1.924,2018
18,27,535,6.666,2018
18,28,173,1.741,2018
18,29,485,5.516,2018
18,30,671,8.433,2018
18,31,498,5.925,2018
18,32,724,10.52,2018
18,33,451,4.036,2018
18,34,322,3.345,2018
18,35,245,2.233,2018
18,36,539,5.918,2018
18,37,429,4.765,2018
18,38,473,5.61,2018
18,39,192,2.161,2018
18,40,677,8.43,2018
18,41,492,6.222,2018
18,42,312,3.013,2018
18,43,679,8.423,2018
18,44,182,1.663,2018
18,45,1760,9.715,2018
18,46,159,1.291,2018
18,47,618,7.719,2018
18,48,583,8.593,2018
18,49,424,4.797,2018
18,50,501,5.961,2018
19,1,209,1.908,2018
19,2,585,7.062,2018
19,3,915,11.567,2018
19,4,296,2.948,2018
19,5,434,4.739,2018
19,6,857,11.59,2018
19,7,720,9.038,2018
19,8,583,7.645,2018
19,9,193,1.519,2018
19,10,931,11.754,2018
19,11,538,6.278,2018
19,12,589,5.724,2018
19,13,659,8.064,2018
19,14,934,12.934,2018
19,15,933,13.756,2018
19,16,790,10.226,2018
19,17,993,12.436,2018
19,18,685,8.641,2018
19,19,0,0.0,2018
19,20,580,6.801,2018
19,21,717,8.64,2018
19,22,693,8.587,2018
19,23,506,5.911,2018
